episode,text
1,"[Jake extends his legs, taking him and Pen to the Ice King's window.]
"
1,"Ice King:  Heh? Stop meddling, boy! You and your magical dog can't harm me.
"
1,"Pen:  He's not my dog! He's my friend! [Jumpkicks Ice King in the face]
"
1,"[They fall into the Ice King's castle and begin to fight; Jake begins to talk to Lady Rainicorn.]
"
1,"Jake:  Hey, how's it goin'? My name's Jake.
"
1,"Lady Rainicorn:  [Coos like a pigeon]
"
1,"Pen:  Why are you always stealing ladies?
"
1,"Ice King:  I'm going to make one marry me! [Cackles]
"
1,"Pen:  That's... stupid!
"
1,"Ice King:  Your hat is stupid!
"
1,"Pen:  My hat is awesome! [Jumpkicks him again] Where's Jake?
"
1,"Jake:  [To Lady Rainicorn] Are you kidding? I play the viola too.
"
1,"Lady Rainicorn:  [Coos]
"
1,"Jake:  You are crazy. You are so crazy.
"
1,"Ice King:  [With ice lightning in his hands] Now I've got you, boy! [Freezes Pen]
"
1,"[Scene shifts to Mars.]
"
1,"Pen:  What's going on? Ab...Abraham Lincoln?
"
1,"Lincoln:  Pen, your mind has been transported back in time... and to Mars.
"
1,"Pen:  What?
"
1,"Lincoln:  It doesn't matter, but what does matter is you need to believe in yourself.
"
1,"[Scene switches back to the Ice Kingdom.]
"
1,"Pen: [Breaking out of the ice] Never!
"
1,"[Ice King is laughing and carries Princess Bubblegum to the window.]
"
1,"Princess Bubblegum:  Pen!
"
1,"[Ice King flies out the window.]
"
1,"Pen:  Princess!
"
1,"Jake:  Let's go!
"
1,"[Pen, Jake and Lady Rainicorn go after Ice King and Princess Bubblegum; when they catch up, Pen jumps at them in slow motion and grabs Princess Bubblegum]
"
1,"Ice King:  Heh?
"
1,"[They fall and Lady Rainicorn catches them.]
"
1,"Pen & Princess Bubblegum:  Yay!
"
1,"Ice King:  Nwah. How dare they trifle with me. They can't possibly think they can win!
"
1,"Jake:  Hey, sloppy milkshake!
"
1,"Ice King:  Wha?
"
1,"Jake:  Why don't you pick on someone your own size?
"
1,"Ice King:  Fool! Your powers are no match for my magical crown!
"
1,"[Jake punches off the crown.]
"
1,"Ice King:  [falling] My powers! Foul and noisome whelp! You've not seen the last of my wintery fangs! I'll cleave the warmth from your bones and stop still your beating heart with my claaaaws...
"
1,"[Back on the ground]
"
1,"Pen:  There you go, Princess. You are free.
"
1,"Princess Bubblegum:  Oh, thank you, brave knight.
"
1,"Pen:  Oh, I'm not a knight. I'm a boy.
"
1,"Princess Bubblegum:  Well, then, thank you, brave boy. [Kisses Pen on the forehead and he blushes]
"
1,"Pen:  Ha ha ha ha ha!
"
1,"Jake:  Whoa, what is going on?
"
1,"Pen:  Uh, nothing.
"
1,"Princess Bubblegum:  [Giggles]
"
1,"Pen:  [Pushes Jake along] We got to go, okay, bye, Princess. Bye.
"
1,"Jake:  Go where, dude? We don't have anything to do.
"
1,"Pen:  Heh, heh, yeah we do, buddy. Adventure awaits.
"
1,"Jake:  I don't see any adventures going on anywhere. I think we're good to just sit here for a while and just talk about our feelings.
"
1,"Pen:  Heh, uh, look! Those ninjas are stealing that Old Man's diamonds!
"
1,"[Ninjas are running off with an old man's diamonds.]
"
1,"Old man:  Give me back my diamonds!
"
1,"Pen:  Later, Princess! I have to attend to this!
"
1,"Princess Bubblegum:  Fair thee well, Pen and Jake.
"
1,"Pen:  Jake!
"
1,"Jake:  What time is it?
"
1,"Pen & Jake:  Adventure time!
"
1,"[They run after the ninjas.]
"
2,"[The episode begins in the Candy Kingdom, Jake is playfully chasing Lady Rainicorn.]
"
2,"Jake: Yeah, you think you're pretty way up there but I can get you! [he stretches to be on Lady's level.]
"
2,"Lady Rainicorn: ? ????~ (""Catch me if you can."")
"
2,"[Finn and Princess Bubblegum are in a cemetery with a table full of different chemicals.]
"
2,"Princess Bubblegum: Alright. Let me just add three more drops of explosive diarrhea.
"
2,"[She adds the explosive diarrhea and a giant cloud shaped like a skull puffs out. Not a good omen.]
"
2,"Finn and Princess Bubblegum: Oooo...
"
2,"Finn: Hey Princess Bubblegum, when we bring the dead back to life, will it be filled with worms?
"
2,"Princess Bubblegum: No. If my decorpsinator serum works, all the dead Candy People will look as young and healthy as you do.
"
2,"[Finn does a ""Tarzan-yell"" while hitting his hands against his chest.]
"
2,"Princess Bubblegum: Pick up that platter, tough guy.
"
2,"[Finn picks up a serving platter and open the lid, revealing a Candy Person corpse.]
"
2,"Finn: Old Mr. Cream Puff?
"
2,"Princess Bubblegum: [Giggles] We used to date. [Applies the serum.]
"
2,"[Mr. Cream Puff's corpse starts to glow and overflow with the fizzing serum.]
"
2,"Finn: Something's happening! Come on, come on...
"
2,"Princess Bubblegum: Work.
"
2,"[A zombie Mr. Cream Puff arises and moans.]
"
2,"Finn: Algebraic!
"
2,"Princess Bubblegum: Wait, something's wrong.
"
2,"Zombie Mr. Cream Puff: Sugar! [Squirts serum out of his eyes and mouth]
"
2,"Finn and Princess Bubblegum: Ew!
"
2,"[Zombie Mr. Cream Puff leaps into a giant test tube. The test tube falls and infects the whole cemetery. Zombie Candy People begin to arise from their graves.]
"
2,"Finn: Hey, look, the decorpsinator serum is working!
"
2,"Princess Bubblegum: No, this is wrong. They're not coming back to life--they're still dead! The decorpsinator serum--it's incomplete! [she rubs the head of a candy person that looks like a love heart.]
"
2,"Zombie Love Heart: [lashing out at Princess Bubblegum] Rah. Must eat sugar!
"
2,"Finn: [Pushes him back down] You're grounded, Mister.
"
2,"Princess Bubblegum: Oh, this is really bad. They're going to be attracted to the Candy Kingdom!
"
2,"Finn: Why?
"
2,"Princess Bubblegum: Because the Candy People are made of sugar, ya ding dong!
"
2,"Zombie Mr. Cream Puff: [On Princess Bubblegum] Gimme some sugar, baby.
"
2,"Finn: Chew on this! [Kicks him]
"
2,"Princess Bubblegum: [Giggles] Good one, Finn. Quickly, to the kingdom!
"
2,"[They run out of the cemetery]
"
2,"Finn: [Kicks another zombie] Get a life!
"
2,"[Princess Bubblegum is at the top of her castle, ringing a large bell]
"
2,"Princess Bubblegum: All citizens of the Candy Kingdom! Report to the palace, immediately!
"
2,"[Candy People mumble in confusion and walk to the palace]
"
2,"Jake: Whoa!
"
2,"[Jake and Lady go off to the palace. Princess Bubblegum notices the zombies slowly leaving the cemetery.]
"
2,"Princess Bubblegum: [worried] Hurry, sweet citizens.
"
2,"Finn: Alright, you heard the princess, everyone in! Alright, no pushing, come on!
"
2,"Jake: Dude, what's up?
"
2,"Finn: The princess will explain everything. Tree Trunks, get those hot buns in here, girl.
"
2,"Tree Trunks: [Carrying hot cross buns] Oh, I hope it's not bad news.
"
2,"[Princess Bubblegum and Finn close the door]
"
2,"Finn: Did we get everyone?
"
2,"Manfried: All present and accounted for.
"
2,"Finn: Thanks, Manfried.
"
2,"Manfried: You're welcome.
"
2,"Princess Bubblegum: Citizens, we are assembled here in the candy foyer for a momentous announcement. Tonight we are all going to have... a slumber party!
"
2,"Finn: What?!
"
2,"[Crowd cheers]
"
2,"Finn: Wait! What about the zom--?! [Princess Bubblegum covers his mouth]
"
2,"Princess Bubblegum: Go ahead and start partying.
"
2,"Finn: [Voice muffled] But, Princess, the Undead--
"
2,"Princess Bubblegum: [Carries Finn to the lab] We'll be right back, everyone.
"
2,"Jake: Whooo!
"
2,"[In the lab]
"
2,"Princess Bubblegum: Finn, the Candy People can't know about the zombies.
"
2,"Finn: Wha?!
"
2,"Princess Bubblegum: If they knew, they would flip out.
"
2,"Finn: What do you mean ""flip out""?
"
2,"Princess Bubblegum: I mean they would flip out.
"
2,"[Scene changes to the cemetery; Starchie arrives with a shovel.]
"
2,"Starchie: Princess? It's me, Starchie the gravedigger. I brought you a larger corpse shovel. Oh, Princess? Well, I'll just wait for you here, then. By the mausoleum. With my back turned. And my defenses lowered.
"
2,"[As Starchie does so, Candy Zombie comes out of the mausoleum and goes up to Starchie, Starchie starts to scream and gasp and then... KABOOM!!! He explodes in a flash of light. Back at the castle.]
"
2,"Finn: Candy People explode when they get scared?!
"
2,"Princess Bubblegum: Not telling the Candy People about the zombies is so important that you need to promise, Royal Promise, not to let anyone find out about the zombies, ever.
"
2,"Finn: Okay, sure.
"
2,"Princess Bubblegum: No, Finn. You have to Royal Promise.
"
2,"Finn: Yes, [kneels] I Royal Promise.
"
2,"Princess Bubblegum: Now I must cloister myself in the lab and finish the equation to my decorpsinator serum. You keep the candy folk distracted and ignorant. Can you do that?
"
2,"Finn: Yes, your highness.
"
2,"Princess Bubblegum: Good. Don't tell anyone about the zombies. Never ever. [She leaves]
"
2,"Finn: No, wait. Can I at least tell [Jake enters] Jake?
"
2,"Jake: Tell me about what, dude?
"
2,"Finn: You know, about the outbreak of zom-- [Covers his mouth]
"
2,"Jake: [Chuckles] Alright, what's going on?
"
2,"Finn: Uhh, nothing at all, buddy! [Laughs awkwardly and skips into the foyer]
"
2,"Jake: Hey, dude. I think you and Bubblegum are up to something.
"
2,"Finn: [nervously] Ahha ah, what? No, no way.
"
2,"Jake: Whoa, you guys are up to something. Is it some sort of prank? Can I get in on it?
"
2,"Finn: [To party-goers] Who wants to play ""Truth or Dare""?
"
2,"Jake: Hmm...
"
2,"Finn: Ok, Chocoberry, you may ask someone to tell a deep truth or a saucy dare.
"
2,"Chocoberry: Mr. Cupcake, truth or dare?
"
2,"Mr. Cupcake: Dare.
"
2,"Chocoberry: I dare you to take off your wrapper.
"
2,"[Everyone goes ""Oooh""]
"
2,"Jake: [Shoulders Finn] Hey seriously, man. I'm your bro. Bros are supposed to tell bros everything all the time. What are you and Bubblegum up to? Is everything alright?
"
2,"Finn: Yep! Fine! Everything is great! Heh, heh. [Crinkling sound] Except for that. Whoa.
"
2,"[Mr. Cupcake has shed his wrapper]
"
2,"Peppermint Butler: I didn't know he was chocolate.
"
2,"Mr. Cupcake: Jake, truth or dare?
"
2,"Jake: Truth.
"
2,"Mr. Cupcake: Do you prefer chocolate or fudge?
"
2,"Jake: I can't eat chocolate or fudge 'cause I'm a dog and they'd probably kill me, but hmmmmm probably... neither. Finn! Truth or dare?
"
2,"Finn: Dare! Haha!
"
2,"Jake: I dare you... to tell me the truth about what's going on in your mind. What were you and Bubblegum talking about when you were alone together?
"
2,"[Everybody goes ""Oooh""]
"
2,"Finn: [Nervously] Umm, ahh, the truth is, ahhh...
"
2,"[Finn visualizes Princess Bubblegum's face on Jake]
"
2,"Hallucination of Princess Bubblegum: You promised you wouldn't freakin' tell anyone! Oh, you're so cute, Finn.
"
2,"Finn: Ahhh... the truth is... that I'd rather play Dodge Socks!
"
2,"[Finn throws a sock at Jake, Princess Bubblegum's face goes away]
"
2,"Jake: I'm not playing dodge socks 'til you stop dodging my questions. Hey... [Sniffs socks] Old Mr. Cream Puff? Isn't he dead?
"
2,"Finn: Hey, give me my sock back! Dodge Socks was a bad idea!
"
2,"Jake: Whoa. [angrily] Look dude, just tell me what's up, 'cause you are crazier than a cannonball tonight.
"
2,"[Finn looks out a window behind Jake and sees the zombies coming]
"
2,"Finn: [Thinking] Oh, my goodness! Princess hasn't finished the equation and the zombies are here!
"
2,"Finn: I, uh, she just want this slumber party to be super fun, and if I did have something to tell you, then I would in a second, and it would make my life easier, unless there was something stopping me, like a promise, but there isn't, so I won't, so it's cool.
"
2,"[Zombie arises by the window behind Jake]
"
2,"Zombie: Sugar!
"
2,"[Finn shuts the shutters]
"
2,"Jake: What? You lost me.
"
2,"Finn: Umm... Hey, you know what time it is?
"
2,"Jake: Adventure time?
"
2,"Finn: No, time for Seven Minutes in Heaven! You're first.
"
2,"Jake: Really?
"
2,"Finn: Lady Raincorn! In the closet with Jake!
"
2,"Lady: ?? ?? ?? ??. ??, ??. ??. (""What? Me? You gotta be kidding me. Okay, then. I'll play."")
"
2,"Jake: Okay, okay, alright. [Closet door closes on Jake and Lady] But in seven minutes, I'm gonna come out and make you spill your beans, Finn.
"
2,"Finn: I can't hear you all the way in heaven!
"
2,"[Finn looks out a window, a horde of zombies shouting ""Sugar"" comes and begins banging on door]
"
2,"Chet: Umm, does anyone else hear that?
"
2,"Finn: What? Hear what? I, I don't hear anything.
"
2,"[Candy People begin to murmur as they too hear the banging.]
"
2,"Chet: I hear something I don't understand... and it makes me scared! [Begins to shake.]
"
2,"Finn: What? No, Chet. Everybody, wait. What noise? You mean this noise? [Turns on a radio and party lights comes on.]
"
2,"Chet: Oh. [Laughs]
"
2,"Finn: Yeah! Dance it! Bust it up! Uh! Uh! Uh! Oh!
"
2,"[A zombie comes out of the main door, Finn rushes to the door, grabbing a table]
"
2,"Chocoberry: What is this game you are playing at now, Finn?
"
2,"[Finn barricades the door with the table]
"
2,"Finn: Uhh, it's... Blockado. Haha, the game of barricades. Come on, let's block all the entrances and windows!
"
2,"[Candy People cheer and begin blockading the doors and windows before the zombies can come in]
"
2,"Finn: Alright, this is not a permanent solution. Think Finn, how can you keep everyone from finding out?
"
2,"Manfried: Find out about what, Finn?
"
2,"Finn: Manfried, the talking piñata! Your convient appearance gives me a great idea. Everyone, grab a stick! New game! We're gonna smash some piñatas!
"
2,"Manfried: What?
"
2,"Finn: Except for you, Manfried.
"
2,"Manfried: Oh, thank goodness.
"
2,"[Finn takes somes strips off of Taffy Girl]
"
2,"Finn: Now everybody don these blindfolds. [Whispering] Thanks, Taffy Girl.
"
2,"[Finn runs into the middle of the blindfolded Candy People swinging sticks]
"
2,"Finn: Alright, everybody, get together. I'm hanging the piñatas... [The zombies burst through the barricades] They're all around you. Smash the piñatas!
"
2,"[Finn and the Candy People smash all the zombies]
"
2,"Finn: Yeah! You guys are on fire!
"
2,"[Chocoberry smashes a zombie, causing candy to fall out. She kneels down and licks the candy.]
"
2,"Chocoberry: Oh, it is so tasty.
"
2,"[All the Candy Zombies are smashed and the Candy People are eating their candy]
"
2,"Finn: Yes! We did it! My improbable plan worked!
"
2,"[Jake and Lady come out of the closet]
"
2,"Jake: Whew!
"
2,"Lady: ??! (""Hello!"")
"
2,"Jake: Seven minutes up yet? [Grabs a jelly filled doughnut and eats it, noticing the zombie corpses.] Whoa! [Runs to Finn] What the nuts happened here?!
"
2,"Finn: Oh, we killed all the zombies that Princess Bubblegum and I raised from the dead.
"
2,"Jake: Really!?
"
2,"[Time freezes, leaving only Finn moving in the room.]
"
2,"Finn: Jake? What's going on?
"
2,"[Princess Bubblegum enters, unaffected by the freezing.]
"
2,"Princess Bubblegum: What? Huh? Oh, Finn! Did you break your Royal Promise?
"
2,"Finn: Yeah, but, I mean, all the zombies are dead. The Candy People won't freak out. What's the big deal?
"
2,"Princess Bubblegum: This is really, really bad, Finn. You can't break Royal Promises. Never, ever, never. No matter what, forever.
"
2,"[The room starts shaking]
"
2,"Princess Bubblegum: The Guardians of the Royal Promise are coming for us.
"
2,"[A hand bursts through the ceiling and grabs Finn and Princess Bubblegum and pulls them outside]
"
2,"Finn and Princess Bubblegum: Whoa!
"
2,"Guardian 1: Finn the Human. You have broken a Royal Promise for which the penalty is trial by fire.
"
2,"[Guardian 2 breathes fire]
"
2,"Finn: That's stupid.
"
2,"Princess Bubblegum: Wait! He's my friend! Isn't there another option?!
"
2,"Guardian 1: Yes. Because you care for the promise-breaker, we will give him a less hot trial. You must now answer...
"
2,"Guardian 2: ...Math questions!
"
2,"Finn: Mathematical!
"
2,"Princess Bubblegum: Finn, you're terrible at math.
"
2,"Finn: Awww.
"
2,"Guardian 1: Now, solve this! [Puts Finn in front of Guardian 2, who puts up a hologram of an overly complicated math equation]
"
2,"Finn: Uhh....
"
2,"Guardian 2: Oh, wait, wait, I thought of a better one. [Replaces the equation with one that says ""2+2""]
"
2,"Guardian 1: Yes! Two plus two. Solve it or die.
"
2,"Finn: Uhh. Four, right?
"
2,"[Guardians laugh]
"
2,"Guardian 1: Oh, correct.
"
2,"[Guardians heads explode and time rewinds, night becomes day, Guardian 2's head comes back and he talks backwards and goes back to sitting and blowing bubbles around the Candy Kingdom.]
"
2,"Finn: What's happening, Princess?
"
2,"Princess Bubblegum: You've defeated the broken royal promise! The Gumball Guardians are resetting!
"
2,"[Guardian 1 drops Finn and Princess Bubblegum, who teleport back to Princess Bubblegum's lab]
"
2,"Finn: Slamacow! That was tops! Who's not good at math? I was all ""Four!""
"
2,"Princess Bubblegum: Four, four... Four, four, four... That's it! The answer was so simple, I was too smart to see it!
"
2,"Finn: You're welcome!
"
2,"Princess Bubblegum: '4' is the last figure I need to perfect my decorpsinator serum.
"
2,"[In the foyer, Princess Bubblegum pours the serum on a zombie]
"
2,"Revived Zombie: Golly!
"
2,"[Finn and Princess Bubblegum pour the serum on all the zombies]
"
2,"Finn: Woohoo! Yeah!
"
2,"Jake: This is messed up, but sweet.
"
2,"Lady Rainicorn: ???. (""Truly it is."")
"
2,"[Finn and Princess Bubblegum revive more Candy Zombies]
"
2,"Candy Person 1: Uncle Chewy!
"
2,"Candy Person 2: Grandma!
"
2,"Ice Cream Lady: Former dead relative!
"
2,"Jake: Starchie!
"
2,"Starchie: Mornin'.
"
2,"Jake: [Walks over to Finn] Man, you broke a Royal Promise? You're nuts. All you had to do is say that it was a royal secret. I know what's up. [Walks away from Finn.]
"
2,"Princess Bubblegum: I hope you grasp the full consequences of breaking promises.
"
2,"Finn: Heck yeah! If I break a Royal Promise, I get to fight zombies, throw slumber parties, awake Gumball Guardians and... and...
"
2,"Princess Bubblegum: Alright, alright.
"
2,"Finn: [evilly] And reverse death itself!
"
2,"Princess Bubblegum: Oh, you are adorable. But keep your promises, okay?
"
2,"Finn: I will, Princess.
"
2,"[Finn notices Starchie gnawing on his leg and picks him up]
"
2,"Finn: Starchie, you're not a zombie.
"
2,"Starchie: I can't help it. Flesh is delicious!
"
2,"Finn: You're delicious!
"
2,"Starchie:  Don't squeeze me! I'll fart!
"
2,"[Finn squeezes him, Starchie farts]
"
3,"[The episode begins at Princess Bubblegum's Mallow Tea Ceremony. She, Finn, Jake, Lumpy Space Princess, and Hot Dog Princess are there.]
"
3,"Finn:  [bouncing:] Whoop! Huh?
"
3,"Jake:  [bouncing:] Whoop!
"
3,"Lumpy Space Princess:  [floating:] Whoopiiieee...
"
3,"Princess Bubblegum:  Cheers, Lumpy Space Princess.
"
3,"[Everyone cheers.]
"
3,"Jake:  Bouncing!
"
3,"Finn:  Princess, this tea party sucks in a big way! But thanks for the invite!
"
3,"Princess Bubblegum:  Oh, don't worry, Finn. The Mallow Tea Ceremony takes years to master.
"
3,"Finn:  Princess! I think I just now mastered it! [Tea splashes in his face.] One more bounce. [Bounces down] Alright! [Hits the ground] Unh! Tea partying's hard, huh, Jake?
"
3,"Jake:  [Hits the ground] Oof! Yes!
"
3,"Lumpy Space Princess:  What?! No way! It's super easy!
"
3,"Finn:  Lumpy Space Princess, you big faker! You're floating, not bouncing!
"
3,"Lumpy Space Princess:  Fine. I'll prove it. [She stops floating] Huh? Ah! Oh, no! [Bounces down] Oh, snap! [She lands with her teeth on Jake's leg.]
"
3,"Jake:  AAAAAGH!
"
3,"Lumpy Space Princess:  [Muffled:] Oh. Sorry I bit your leg.
"
3,"Jake:  You're still biting me!!
"
3,"Lumpy Space Princess:  Oh, my gosh. Oh, right. Sorry.
"
3,"Finn:  Dude! Your leg!
"
3,"Jake:  This is... new. It's nothin' ominous, though. Just a bump.
"
3,"Lumpy Space Princess:  Nah, that's no bump. It's the early stage of the lumps.
"
3,"Finn:  Is it serious?
"
3,"Lumpy Space Princess:  It just means he's changing into a Lumpy Space guy, on account of my bite. It's just like, um, y'know... werewolf rules? [Imitating a werewolf] Ar, rawr rawr rawr rawr rawr rawr!
"
3,"Finn:  Oh, no!
"
3,"Jake:  What? You think I'm gonna turn all lumpy like her? Get outta here. [Arm suddenly lumps up] Wha? Finn, I think I'm freakin' out!
"
3,"Finn:  Calm down, bud! I'll... I'll sock the lumpiness outta ya!
"
3,"[Teacup falls on the ground and shatters.]
"
3,"Princess Bubblegum:  Hey, now! [Bouncing down] Royal intervention! Surely there must be an antidote to the lumps.
"
3,"Lumpy Space Princess:  Yeah. There's an antidote, but you have to go all the way to Lumpy Space to get it. And Jake has to use it by sunset.
"
3,"Princess Bubblegum:  What happens if he doesn't take the antidote by sunset?
"
3,"Lumpy Space Princess:  He'll be lumpy, like, forever.
"
3,"Finn:  LSP, please! Can you tell us how to reach Lumpy Space?
"
3,"Lumpy Space Princess:  Yeah, I mean, there's a portal nearby. I can show you whenever.
"
3,"Finn and Jake:  [Exiting with Lumpy Space Princess] Take us now! Take us now!
"
3,"Princess Bubblegum:  [Intestines grumble] I should not have drunk that much tea! [Runs off]
"
3,"Lumpy Space Princess:  Don't go telling everyone about this portal or whatever. It's kind of a secret.
"
3,"[Finn and Jake look around.]
"
3,"Finn:  Where is it?
"
3,"Lumpy Space Princess:  Portal's that Frog and mushroom.
"
3,"[Frog jumps on mushroom with a ribbit.]
"
3,"Frog:  Password, please.
"
3,"Lumpy Space Princess:  [yells] Whatevers2009!!
"
3,"Frog:  Good day, Princess. Is your father okay with you entering Lumpy Space with two... [puffs out his chest] non-Lumpers?
"
3,"Finn:  [Whispering to Lumpy Space Princess] Just say yes! Yes, yes, yes!
"
3,"Lumpy Space Princess:  Yeah, whatever, fine.
"
3,"[The frog extends its tongue to the three and sucks them into his mouth, transporting them to Lumpy Space.]
"
3,"[Scene changes to Lumpy Space. Finn is thrown toward a lumpy cloud where LSP and Jake are waiting for him.]
"
3,"Finn:  AAAAH!! Whoa... Lumpy Space. So, where's the antidote?
"
3,"Lumpy Space Princess:  Hold it. First, you should check out my house. It's, like, kind of lame, but way less lame than, like, your house.
"
3,"Jake:  Uh, could you skip to the part where you tell us where the antidote is?
"
3,"Lumpy Space Princess:  It's up there at Makeout Point.
"
3,"Finn:  That's so close! We can run there in no... [Camera pans up, revealing that Makeout Point is across an abyss.] ...time. Aww, what?!! It's, like, a million-mile fall into space!
"
3,"Lumpy Space Princess:  Yeah. You have to travel by car in my world, or else you'll fall into the Lumpy Abyss.
"
3,"Lumpy Space King:  Daughter!! Have you brought smooth people into our domain?!
"
3,"Lumpy Space Princess:  I had to, Dad... I'm trying to help them, so don't lumping yell at me!
"
3,"Lumpy Space Queen:  WHAT DID YOU SAY?! What did you just say?!?
"
3,"Lumpy Space Princess:  I SAID, ""LUMP OFF,"" MOM!!! [yells gibberish angrily, then pants heavily]
"
3,"Finn:  Uh...
"
3,"Lumpy Space Princess:  [To Finn:] WHAT?!?!
"
3,"Finn:  Vroom vroom??
"
3,"Lumpy Space Princess:  Oh, yeah. [To parents:] I need to borrow the car.
"
3,"Lumpy Space King:  You have made your mother cry for the last time, daughter! You are hereby banned from using the royal car!! [walks inside house and slams the door]
"
3,"Lumpy Space Princess:  Shucks! I lumping hate them! I'm really, really sorry, Finn. But I can't help you because my parents are horrible idiots.
"
3,"Finn:  Don't you know anyone else with a car?
"
3,"Lumpy Space Princess:  My friend Melissa has a car. But she's dating my ex-boyfriend Brad.
"
3,"Finn:  [frustrated] Call her NOW.
"
3,"Lumpy Space Princess:  Hmm. [pulls out cellphone] [LSP says to her phone:] Call BFF 66.
"
3,"[Elsewhere, Melissa's phone rings.]
"
3,"Melissa:  [answering] Hello?
"
3,"Lumpy Space Princess:  Hey, Melissa. What's up?
"
3,"Finn:  What's she saying?
"
3,"Lumpy Space Princess:  [whispering to Finn] I'm asking her, jeez! Melissa, just listen!
"
3,"Melissa:  Have you forgotten what day it is?
"
3,"Lumpy Space Princess:  Melissa. I'm trying to help out some friends.
"
3,"Melissa:  Tonight is the weekly Promcoming Dance!
"
3,"Lumpy Space Princess:  Oh, Glob. I forgot.
"
3,"Finn:  What'd she say?
"
3,"Lumpy Space Princess:  Tonight is the weekly Promcoming Dance! [To Melissa, in excitement:] It's gonna be so flipping awesome!
"
3,"Finn:  [exasperated] LSP, we don't have time for this. Ask for the ride, LSP.
"
3,"Lumpy Space Princess:  Oh, oh, oh, oh, oh, oh, oh, oh—[Finn takes the cellphone] [LSP continues to say oh a couple of times until she realizes her phone is missing] Wha?!
"
